LSTAT	INDUS	NOX	RM	MEDV
0	4.98	2.31	0.538	6.575
1	9.14	7.07	0.469	6.421
2	4.03	7.07	0.469	7.185
3	2.94	2.18	0.458	6.998
4	5.33	2.18	0.458	7.147
5	5.21	2.18	0.458	6.430
6	12.43	7.87	0.524	6.012
7	19.15	7.87	0.524	6.172
8	29.93	7.87	0.524	5.631
9	17.10	7.87	0.524	6.004
10	20.45	7.87	0.524	6.377
11	13.27	7.87	0.524	6.009
12	15.71	7.87	0.524	5.889
13	8.26	8.14	0.538	5.949
14	10.26	8.14	0.538	6.096
15	8.47	8.14	0.538	5.834
16	6.58	8.14	0.538	5.935
17	14.67	8.14	0.538	5.990
18	11.69	8.14	0.538	5.456
19	11.28	8.14	0.538	5.727
20	21.02	8.14	0.538	5.570
21	13.83	8.14	0.538	5.965
22	18.72	8.14	0.538	6.142
23	19.88	8.14	0.538	5.813
24	16.30	8.14	0.538	5.924
25	16.51	8.14	0.538	5.599
26	14.81	8.14	0.538	5.813
27	17.28	8.14	0.538	6.047
28	12.80	8.14	0.538	6.495
29	11.98	8.14	0.538	6.674
30	22.60	8.14	0.538	5.713
31	13.04	8.14	0.538	6.072
32	27.71	8.14	0.538	5.950
33	18.35	8.14	0.538	5.701
34	20.34	8.14	0.538	6.096
35	9.68	5.96	0.499	5.933
36	11.41	5.96	0.499	5.841
37	8.77	5.96	0.499	5.850
38	10.13	5.96	0.499	5.966
39	4.32	2.95	0.428	6.595
40	1.98	2.95	0.428	7.024
41	4.84	6.91	0.448	6.770
42	5.81	6.91	0.448	6.169
43	7.44	6.91	0.448	6.211
44	9.55	6.91	0.448	6.069
45	10.21	6.91	0.448	5.682
46	14.15	6.91	0.448	5.786
47	18.80	6.91	0.448	6.030
48	30.81	6.91	0.448	5.399
49	16.20	6.91	0.448	5.602
